XH,2021-09-01,2021-10-01,2021-11-01,2021-12-01,2022-03-01,2022-04-01,2022-05-01,2022-08-01,2022-09-01,2022-10-01,2022-11-01
202112801001,0,0,0,3,0,36,134,41,115,108,76
202112801002,34,26,62,57,48,49,79,30,75,50,38
202112801003,25,0,2,0,0,0,0,0,0,0,0
202112801004,0,0,0,0,0,26,116,37,91,77,53
202112801005,0,0,0,0,0,28,116,95,58,0,0
202112801006,0,0,0,0,0,29,88,81,62,0,3
202112801007,0,0,1,0,0,34,129,46,125,155,112
202112801008,0,0,0,0,0,0,42,26,36,20,7
202112801009,27,0,0,0,43,37,78,25,67,61,54
202112801010,58,66,78,94,0,15,138,41,93,69,52
202112801011,10,8,4,0,0,0,0,11,9,0,0
202112801012,102,103,77,49,0,12,91,63,103,92,50
202112801013,96,79,101,51,0,20,123,98,112,122,52
202122801001,2,1,41,42,47,73,78,47,0,0,34
202122801002,90,70,63,45,50,68,82,57,75,66,42
202122801003,38,34,41,35,51,75,75,15,0,0,0
202122801004,0,0,0,0,0,0,0,15,28,31,22
202122801005,59,53,60,59,59,81,71,24,58,35,29
202122801006,100,111,101,104,77,92,128,67,102,103,60
202122801007,51,31,36,39,0,5,84,31,72,78,61
202122801008,60,48,62,58,0,0,0,61,90,84,58
202122801009,83,68,24,27,75,104,102,64,102,100,62
202122801010,66,55,71,54,0,0,0,61,99,67,39
202122801011,74,41,29,25,103,113,84,60,56,77,52
202122801012,0,0,0,0,61,89,69,57,89,68,41
202122801013,4,16,9,0,0,0,0,26,82,59,66
202122801014,0,0,0,0,0,5,34,11,25,36,37
202122801015,87,53,56,53,0,12,116,29,109,103,66
202122801016,44,53,52,24,77,104,81,65,95,59,41
202122801017,0,0,0,0,71,95,76,62,101,81,38
202122801018,73,68,49,38,0,14,84,0,0,0,0
202122801019,48,43,38,28,0,10,87,61,82,95,52
202122801020,3,2,15,41,67,87,89,37,74,73,51
202122801021,21,30,27,26,0,9,68,56,79,68,49
202122801022,71,55,34,37,69,116,94,44,0,0,0
202122801023,82,49,67,49,81,118,107,62,69,82,45
202122801024,12,5,11,0,72,81,94,60,82,86,51
202122801025,98,76,70,44,48,52,63,50,58,54,35
202122801026,40,34,32,26,58,83,110,69,94,76,49
202122801027,84,79,73,61,98,89,94,52,104,89,64
202122801028,41,41,46,35,0,10,124,80,115,102,61
202122801029,48,65,62,51,60,96,93,58,57,70,50
202122801030,57,48,41,24,49,62,60,18,41,72,47
202122801031,60,72,71,43,53,96,84,57,77,89,62
202122801032,23,3,3,2,53,61,50,33,38,37,26
202122801033,5,0,0,0,0,10,47,51,62,89,52
202122801034,56,4,17,34,0,0,0,0,0,0,32
202122801035,67,70,71,52,65,71,69,39,71,72,53
202122801036,37,37,15,36,67,86,88,67,74,92,54
202122801037,31,31,15,25,67,92,70,7,62,0,0
202122801038,49,47,54,25,53,92,77,46,69,60,41
202122801039,95,77,64,57,91,117,63,35,87,93,54
202122801040,52,60,48,51,76,117,115,64,134,136,64
202122801041,70,53,60,28,63,90,72,57,77,53,42
202122801042,71,51,58,60,84,100,107,66,86,76,59
202122801043,46,55,47,38,65,76,61,19,65,46,32
202122801044,84,76,49,56,0,8,108,76,107,104,67
202122801045,102,106,109,113,93,88,93,65,108,70,0
202122801046,88,81,80,92,65,91,98,75,80,107,57
202122801047,76,74,58,59,45,67,76,55,79,70,48
202122801048,89,78,57,30,88,93,45,55,80,86,42
202122801049,45,43,52,50,49,56,54,6,38,54,33
202122801050,0,0,0,0,78,101,101,51,95,89,59
