XH,2021-09-01,2021-10-01,2021-11-01,2021-12-01,2022-03-01,2022-04-01,2022-05-01,2022-08-01,2022-09-01,2022-10-01,2022-11-01
202112801001,0.0,0.0,0.0,9.5,0.0,214.1,745.93,274.3,642.81,642.23,412.28
202112801002,251.9,127.5,307.8,287.5,304.1,337.54,465.04,296.90000000000003,620.98,436.62,343.19
202112801003,134.41,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
202112801004,0.0,0.0,0.0,0.0,0.0,242.8,982.04,308.4,858.7,818.48,589.35
202112801005,0.0,0.0,0.0,0.0,0.0,151.2,909.82,834.67,457.81,0.0,0.0
202112801006,0.0,0.0,0.0,0.0,0.0,219.0,668.86,649.4,597.67,0.0,52.6
202112801007,0.0,0.0,5.0,0.0,0.0,166.1,922.1,276.6,795.27,904.34,728.31
202112801008,0.0,0.0,0.0,0.0,0.0,0.0,480.88,253.4,407.36,230.2,107.16
202112801009,197.2,0.0,0.0,0.0,344.4,322.3,706.8,241.9,713.95,613.92,561.65
202112801010,350.05,347.7,471.2,613.2,0.0,131.3,1023.64,273.8,598.9,570.54,371.2
202112801011,111.1,118.8,48.5,0.0,0.0,0.0,0.0,143.4,119.4,0.0,0.0
202112801012,825.28,927.58,729.11,426.84,0.0,100.5,743.89,503.55,775.77,836.3,500.3
202112801013,683.63,515.43,612.77,325.57,0.0,125.8,930.4,797.8,847.2,899.6,462.7
202122801001,6.3,8.0,291.9,320.8,440.2,519.6,618.3,275.1,0.0,0.0,210.4
202122801002,747.0,600.0,574.0,451.4,424.7,610.0,704.6,504.5,754.0,635.0,455.5
202122801003,346.8,450.7,510.0,401.9,608.2,833.2,801.7,126.23,0.0,0.0,0.0
202122801004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.5,165.5,189.1,115.5
202122801005,469.8,411.8,444.61,428.42,475.5,650.3,587.5,182.77,530.21,334.6,272.54
202122801006,558.88,522.51,547.72,538.4,400.24,596.35,737.74,524.5,762.27,683.32,415.04
202122801007,398.3,245.8,294.7,327.1,0.0,50.7,712.2,235.0,579.64,539.75,426.94
202122801008,439.1,350.32,402.62,466.11,0.0,0.0,0.0,469.74,635.46,711.72,503.8
202122801009,520.8,502.8,171.0,262.5,668.1,988.74,834.8,555.5,961.5,858.54,567.31
202122801010,464.9,346.46999999999997,493.48,445.3,0.0,0.0,0.0,514.6,671.68,533.57,399.5
202122801011,564.34,451.83,343.53,338.58,743.83,1007.8,650.01,495.5,646.7,727.86,580.0
202122801012,0.0,0.0,0.0,0.0,422.5,739.09,598.96,453.1,645.26,608.37,352.9
202122801013,42.0,140.0,123.94,0.0,0.0,0.0,0.0,203.07,779.22,585.13,625.6
202122801014,0.0,0.0,0.0,0.0,0.0,46.5,283.31,51.8,172.37,284.7,400.2
202122801015,781.6,583.5,677.4,593.2,0.0,118.6,1058.2,296.1,1007.44,981.07,673.2
202122801016,395.0,516.0,487.88,238.0,614.5,950.8,814.8,598.6,792.2,665.6,461.0
202122801017,0.0,0.0,0.0,0.0,506.2,712.39,608.49,509.0,755.07,714.73,380.2
202122801018,608.2,526.9,431.7,354.17,0.0,107.77,671.27,0.0,0.0,0.0,0.0
202122801019,388.2,339.8,283.53,238.6,0.0,101.6,700.74,581.26,948.0,655.3,481.1
202122801020,22.0,24.0,137.81,375.31,654.27,873.34,812.32,339.67,705.97,616.56,491.53
202122801021,213.5,248.0,256.42,194.93,0.0,97.5,721.5,475.1,677.3,610.1,466.1
202122801022,460.52,417.51,194.14,251.84,432.99,751.69,688.93,283.9,0.0,0.0,0.0
202122801023,691.79,492.0,688.0,474.1,529.5,814.53,837.5,533.11,756.17,740.24,401.5
202122801024,90.5,46.0,98.3,0.0,457.6,597.7,674.3,540.44,747.84,691.69,468.67
202122801025,669.5,711.7,589.36,432.5,410.0,424.7,571.0,427.1,626.4,563.6,363.0
202122801026,423.1,366.5,359.7,307.5,574.9,889.2,1258.62,747.2,1112.63,864.87,556.8
202122801027,665.3,648.41,611.9399999999999,554.27,566.4,717.2,723.3,469.6,826.87,744.8,531.87
202122801028,374.3,370.2,491.1,396.8,0.0,102.6,815.8100000000001,599.7,795.5,750.0,476.75
202122801029,445.9,593.06,583.7,441.73,553.2,647.81,659.0,490.02,588.4300000000001,689.5,426.0
202122801030,555.79,505.3,310.11,286.37,524.88,671.67,626.78,190.5,385.6,644.3,381.5
202122801031,584.37,673.47,743.4,438.33,466.3,887.8,821.5,600.65,810.3,766.2,594.8
202122801032,171.78,33.0,35.0,20.1,495.3,505.14,476.3,286.73,276.05,311.37,188.7
202122801033,36.5,0.0,0.0,0.0,0.0,89.0,685.65,562.1,557.2,842.0,477.2
