XH,2021-01-01,2022-01-01
202112801001,3,510
202112801002,179,369
202112801003,27,0
202112801004,0,400
202112801005,0,297
202112801006,0,263
202112801007,1,601
202112801008,0,131
202112801009,27,365
202112801010,296,408
202112801011,22,20
202112801012,331,411
202112801013,327,527
202122801001,86,279
202122801002,268,440
202122801003,148,216
202122801004,0,96
202122801005,231,357
202122801006,416,629
202122801007,157,331
202122801008,228,293
202122801009,202,609
202122801010,246,266
202122801011,169,545
202122801012,0,474
202122801013,29,233
202122801014,0,148
202122801015,249,435
202122801016,173,522
202122801017,0,524
202122801018,228,98
202122801019,157,387
202122801020,61,478
202122801021,104,329
202122801022,197,323
202122801023,247,564
202122801024,28,526
202122801025,288,360
202122801026,132,539
202122801027,297,590
202122801028,163,492
202122801029,226,484
202122801030,170,349
202122801031,246,518
202122801032,31,298
202122801033,5,311
202122801034,111,32
202122801035,260,440
202122801036,125,528
202122801037,102,298
202122801038,175,438
202122801039,293,540
202122801040,211,706
202122801041,211,454
202122801042,240,578
202122801043,186,364
202122801044,265,470
202122801045,430,517
202122801046,341,573
202122801047,267,440
202122801048,254,489
202122801049,190,290
202122801050,0,574
202122801051,246,387
202122801052,280,502
202122801053,266,570
202122801054,241,583
202122801055,310,542
202122801056,251,488
202122802001,42,171
202122802002,70,459
202122802003,250,599
202122802004,269,527
202122802005,81,441
202122802006,248,314
202122802007,95,180
202122802008,35,477
202122802009,219,412
202122802010,0,301
202122802011,41,355
202122802012,47,644
202122802013,235,196
202122802014,26,593
202122802015,262,214
202122802016,296,308
202122802017,173,235
202122802018,424,610
202122802019,260,539
202122802020,373,649
202122802021,197,341
202122802022,264,498
202122802023,256,504
202122802024,304,265
202122802025,23,394
202122802026,43,395
202122802027,261,368
202122802028,218,521
202122802029,9,455
202122802030,286,527
202122802031,298,584
202122802032,308,532
202122802033,311,575
202122802034,351,596
202122802035,352,438
202122802036,0,305
202122802037,305,420
202122802038,265,441
202122802039,218,529
202122802040,377,673
202122802041,38,403
202122802042,348,309
202122802043,140,495
202122802044,253,433
202122802045,197,380
202122802046,164,377
202122802047,206,302
202122802048,48,130
202122802049,135,462
202122802050,137,346
202122802051,300,330
202122802052,295,234
202122802053,394,417
202122802054,159,355
202122802055,199,435
202122802056,298,356
202122802057,258,228
202122802058,231,455
202122802059,280,484
202132803001,85,0
202132803002,35,484
202132803003,14,11
202132803004,366,438
202132803005,158,508
202132803006,390,586
202132803007,7,301
202132803008,335,263
202132803009,268,7
202132803010,164,343
202132803011,326,461
202132803012,36,500
202132803013,223,443
202132803014,263,655
202132803015,0,607
202132803016,211,385
202132803017,222,270
202132803018,161,373
202132803019,280,510
202132803020,211,567
202132803021,245,415
202132803022,265,821
202132803023,53,0
202132803024,220,418
202132803025,70,0
202132803027,290,440
202132803028,260,146
202132803029,152,283
202132803030,303,510
202132803031,7,424
202132803032,238,548
202132803033,53,198
202132803034,187,538
202132803035,66,0
202132803036,205,550
202132803037,263,175
202132803038,280,457
202132803039,206,458
202132803040,220,250
202132803041,0,509
202132803042,60,0
202132803043,24,251
202132803044,299,578
202132803045,0,474
202132803046,277,486
202132803047,187,479
202132803048,191,549
202132803049,95,0
202132803050,295,469
202132803051,247,615
202132803052,45,0
202132803053,331,582
202132803054,291,425
202132803055,228,197
202132803056,31,522
202132803057,188,281
202132803058,199,429
202132803059,307,130
202132803060,239,552
202132803061,338,482
202132803062,302,582
202132803063,255,187
202132803064,33,0
202132803065,245,516
202132803066,231,497
202132803067,24,381
202132803068,188,478
202132803070,124,111
202132803071,313,655
202132803072,381,493
202132803073,313,640
202132803074,260,348
202132803075,304,656
202132803076,285,416
202132803077,278,491
202132803078,50,0
202132803079,180,319
202132803081,201,466
202132803082,277,461
202132803083,299,517
202132803084,18,0
202132803085,0,56
202132803086,317,671
202132803087,327,581
202132803088,240,341
202132803089,169,367
202132803090,8,531
202132803091,226,344
202132803092,284,556
202132803093,42,623
202132803094,29,469
202132803095,11,161
202132803096,208,436
202132803097,249,493
202132803098,246,534
202132803099,104,374
202132803101,13,0
202132803102,122,211
202132803103,90,0
202132803104,70,344
202132803105,164,469
202132803106,179,217
202132803107,280,726
202132803108,214,558
202132803109,213,499
202132803110,90,0
202132803111,252,416
202132803112,224,498
202132803113,354,542
202132803114,179,408
202132803115,260,420
202132803116,72,124
202132803117,76,0
202132803118,308,457
202132803119,138,233
202132803120,20,0
202132803121,182,270
202132803122,324,508
202132803123,73,0
202132803124,289,109
202132803125,256,425
202132803126,214,87
202132803127,235,259
202132803128,295,303
202132803129,266,482
202132803130,342,300
202132803131,25,0
202132803132,393,304
202132803133,191,387
202132803134,323,440
202132803135,195,358
202132803136,199,366
202132803137,250,435
202132803138,301,508
202132803139,88,576
202132803140,185,442
202132803141,152,438
202132803142,174,422
202132803143,277,584
202132803144,54,0
202132803145,304,570
202132803146,192,537
202132803147,240,678
202132803148,599,441
202132803149,364,443
202132803150,302,631
202132803151,231,367
202132803152,249,404
202132803153,485,323
202132803154,421,529
202132803155,261,178
202132803156,333,559
202132803157,284,356
202132803158,383,685
202132803159,357,9
202132803161,174,482
202132803162,261,248
202132803163,286,406
202132803164,53,0
202132803165,41,469
202132803166,183,504
202132803167,51,376
202132803168,126,356
202132803169,138,150
202132803170,339,624
202132803171,268,412
202132803172,157,326
202132803173,275,574
202132803174,245,395
202132803175,349,381
202132803176,138,345
202132803177,384,566
