XH,2021-01-01,2022-01-01
202112801001,9.5,2931.65
202112801002,974.7,2804.37
202112801003,151.41,0.0
202112801004,0.0,3799.77
202112801005,0.0,2353.5
202112801006,0.0,2187.53
202112801007,5.0,3792.72
202112801008,0.0,1479.0
202112801009,197.2,3504.92
202112801010,1782.15,2969.38
202112801011,278.4,262.8
202112801012,2908.81,3460.31
202112801013,2137.4,4063.5
202122801001,627.0,2063.6
202122801002,2372.4,4088.3
202122801003,1709.4,2369.33
202122801004,0.0,567.6
202122801005,1754.63,3033.42
202122801006,2167.51,4119.46
202122801007,1265.9,2544.23
202122801008,1658.15,2320.72
202122801009,1457.1,5434.49
202122801010,1750.15,2119.35
202122801011,1698.28,4851.7
202122801012,0.0,3820.18
202122801013,305.94,2193.02
202122801014,0.0,1238.88
202122801015,2635.7,4134.61
202122801016,1636.88,4897.5
202122801017,0.0,4186.08
202122801018,1920.97,779.04
202122801019,1250.13,3468.0
202122801020,559.12,4493.66
202122801021,912.85,3047.6
202122801022,1324.01,2157.51
202122801023,2345.89,4612.55
202122801024,234.8,4178.24
202122801025,2403.06,3385.8
202122801026,1456.8,6004.22
202122801027,2479.92,4580.04
202122801028,1632.4,3540.36
202122801029,2064.39,4053.96
202122801030,1657.57,3425.23
202122801031,2439.57,4947.55
202122801032,259.88,2539.59
202122801033,36.5,3213.15
202122801034,679.9,162.2
202122801035,1952.59,3758.02
202122801036,1095.72,4104.62
202122801037,841.47,2499.41
202122801038,1434.41,4047.81
202122801039,1998.51,3791.32
202122801040,1502.86,4291.51
202122801041,1896.5,4529.74
202122801042,2225.65,4877.36
202122801043,1247.1,3477.38
202122801044,1800.01,3093.35
202122801045,2318.43,3458.14
202122801046,2253.93,4206.98
202122801047,2149.44,3831.8
202122801048,2000.5,4934.5
202122801049,1254.44,1827.03
202122801050,0.0,4332.7300000000005
202122801051,1714.53,4182.17
202122801052,2173.8,4794.58
202122801053,1713.37,3389.51
202122801054,1673.49,4130.51
202122801055,1834.17,3356.46
202122801056,2183.34,5221.2
202122802001,479.8,2004.5
202122802002,478.1,2847.47
